reviewId,reviewTitle,reviewDescription,timeStamp,userId,entityId,upvotedUsersList1,upvotedUsersList2,upvotedUsersList3,downvotedUsersList1,downvotedUsersList2
1,Tasty Kadala Curry,"Kadala Curry is very flavourful at Rehmath Restaurant, Thycaud, Trivandrum.",29/08/2019 23:37:04,1,1,Null,Null,Null,Null,Null
2,Authentic 3 course meal dishes,"3 course menu will find you filling at Rehmath Restaurant, Thycaud, Trivandrum.",03/04/2019 09:40:06,4,1,Null,Null,Null,Null,Null
3,Tasty steamed banana desset,"Banana desert is one of its kind at Rehmath Restaurant, Thycaud, Trivandrum.",28/08/2017 10:20:06,4,1,2,4,10,Null,Null
4,The food is incredible,The South-Indian items served here is just delectable.,19/04/2019 11:20:06,3,1,6,Null,23,60,54
5,Quite a feast,The South Indian food served here is simply lovely.,27/08/2017 09:20:06,2,1,Null,Null,12,Null,23
6,Grilled chicken,"Their grilled chicken with ghee rice is the best in Bangalore, 
although the food isn't the most healthy, 
it certainly has taste. Nothing you can eat on a regular basis though.",31/08/2018 09:40:06,3,1,4,Null,Null,Null,Null
7,Cheating with customers on payment,They kept notice on billing counter stating that if anything happens while making payments they will not return back or not responsible for that it means it's their regular cheating with customers on payment don't visit they are cheaters all including Branch mamager,01/09/2019 13:40:06,4,1,6,Null,14,Null,22
8,Good food,Tried several dishes from here during our stay in Bangalore and had returned there several times due to the good food they serve. The service is ok but the food is excellent ,12/08/2017 13:40:06,5,1,6,48,15,7,4
9,Hotel Empire,One of the best soughted Hotels for vegetarian and non vegetarian food.There us home delivery of food also.Foid served is always freshly prepared and very tasty.The rates are also economical.,23/09/2019 09:40:06,6,1,6,Null,23,Null,Null
10,Food,Great taste!!!! Awesome ambience. Good food with the best quality products....enjoyed and satisfied..,04/09/2018 19:40:06,7,1,6,44,45,1,4
11,Horrible experience,Empire hotels should be shut down. Food is horrible and service is abysmal. It is crowded. It smells. And the food is not fresh.,11/03/2017 10:40:06,8,1,6,Null,Null,6,Null
12,Dabba restaraunt,Pls don't go and spend large amount for food in this dabba hotel small hotel is far better'. This is dabbba hotel evry u see,06/09/2019 02:40:06,9,1,6,44,17,Null,Null
13,"userId:,subDomainName:row.subDomainName,parentId:row.parentId","Staff are rude while taking orders and food are not good, chicken lollipop was made up of cumin seeds and turmeric, pathetic way of cooking food.",13/09/2019 11:00:06,10,2,Null,Null,Null,Null,Null
14,Excellent food,Late night Dinner. Food is Great. Had fun. The food is very hygienic.If you love non-vegetarian food them this is a must visit place,08/09/2019 09:40:06,6,2,Null,Null,Null,Null,Null
15,Decent,They are quite a popular chain of restaurants in and around the city of Bangalore. Try their fish fry.,03/12/2018 09:40:06,11,1,Null,Null,Null,Null,Null
16,Good for non-veg food,There are varieties of non vegetarian food stuffs served here. I had vegetarian thali here which was having enough food for one person. Service was satisfactory.,10/09/2019 09:40:06,13,0,8,Null,3,4,9
17,"Yummy food, tasty kebabs",I love the Empire special chicken fry. and tandoori Chicken. I recommend everyone who visit here to try them. Fried rice and noodles were good. Staff is friendly,11/09/2019 09:40:06,4,0,9,18,23,Null,Null
18,worst restaraunt in bangalore,"The food is really bad. I had ordered butter chicken which did not taste like butter chicken at all. Rumali roti was very thick. Chicken biryani was over cooked, with only one leg piece. I would advise people to not visit this place",20/06/2019 08:34:06,12,0,8,45,34,Null,56
19,All perfect,The service are great! All the employees are very help full and friendly... Specially Sohel.,13/09/2018 09:40:06,4,0,6,4,24,Null,Null
20,Amazing,"The staff is super friendly, the buffet is huge and very good, the chef was very attentive and we talked about how important it is to offer options for people who are not used to spicy food. Simply the best service in Bangalore",12/08/2019 09:40:06,7,0,Null,Null,Null,Null,Null
21,A great movie,"I couldn't take my eyes off the screen, i was simply compelled to watch it until the end. I already knew how it ended so i was surprised it commanded my attention so intensely.",1/03/2019 09:40:06,2,13,Null,Null,Null,Null,Null
22,Amazing movie,"My father helped put the first men on the moon. A proud veteran of decades of devoted service to NASA and the United States space program, this man is my hero.",12/08/2019 09:40:08,45,13,Null,Null,Null,Null,Null
23,Over the Moon over this,"""Awe-inspiring"" is an overused phrase, but I am using it here: ""Apollo 11"" is awe-inspiring, the best movie I have seen in years.",12/08/2019 09:40:09,21,13,Null,19,13,Null,3
24,More than Documentary,"I carefully followed the Space Program from Alan Shepherd's first flight when I was in eighth grade through Apollo 11 my first year in grad school and on. This movie relieved that first moon walk flight, and I saw and learned a lot I hadn't seen or heard before. It is masterfully don. It was a great experience.",12/08/2019 09:40:10,12,13,12,11,14,33,32
25,Accurate information,This is the story of apollo 11's moonshot program in documentary style as filmed at the time. the saturn V rocket that took apollo 11 to the moon was designed by german rocket engineers from the second world war (see nasa official website).,12/08/2019 09:40:11,34,13,Null,Null,Null,Null,Null
26,Wow! You really feel like you were the amazing thing,This movie just took my breath away. We have all seen the Apollo 11 mission... But this movie just does it in a way where you feel like you were there. No sit down interviews.. just actual footage from the day and the mission. The footage looked so amazing.,12/08/2019 09:40:12,23,13,Null,Null,Null,Null,Null
27,Truly amazing film,Should be mandatory watching for all the folks that have lost the feeling of global humanity. I remember it from 50 years ago and I feel proud of the world as it looked then and the can do attitudes. The grace and humility of Neil Armstrong and crew was amazing.,12/08/2019 09:40:13,25,14,5,8,Null,Null,Null
28,"Good historical fiction, not a fantastic horror film","I admit, it is not terribly scary, but it uses a fairly original (comparatively speaking) filming mechanic in the found footage style and is, aside from the space aliens, a believable film with good acting, very few historical inaccuracies, mostly natural dialogue and a good bit of tension.",12/08/2019 09:40:14,27,14,Null,Null,Null,Null,Null
29,A surprisingly effective slow-burn,"Have to admit i've been excited about the concept of this movie since i read about it about 7 months back... However, i also have to admit that, given it's release date, I was a bit worried that it would wind up a stinker...",12/08/2019 09:40:15,28,14,Null,Null,Null,Null,Null
30,Really enjoyed this,I'd been looking forward to this film for months after seeing a poster for it. The concept of a secret 18th mission to the moon drew me in instantly.,12/08/2019 09:40:16,29,14,Null,Null,Null,Null,Null
31,Film of the year,Excellent film brilliant performance from the cast enjoyed it from start to finish best film of 2019,12/08/2019 09:40:17,41,15,34,48,47,45,44
32,Only one word “Awesome”,"Revenge is not right every time, and forgiveness is not right every time. And every time the truth is not ""true"", and every time lies are not ""lies"". very deep in Must watch 🌟🌟🌟🌟🌟 🌟🌟🌟🌟🌟 Only one word ""Awesome"" and Suspense is something else ...",12/08/2019 09:40:18,42,15,33,12,14,Null,Null
33,Spoiler free review of badla,"BadlaReview Sujoy Ghosh continuously failed to meet the expectations that he had created with Kahaani! But the expectations of his comeback were always high. Trailer made Badla look like that comeback movie. And yes, indeed it is that movie.",12/08/2019 09:40:19,43,15,Null,3,4,Null,Null
34,An interesting remake,"First thing first, be aware that this movie is a 99% remake of the excellent 2-year-old movie contratiempo. ",12/08/2019 09:40:20,44,15,55,Null,44,Null,22
35,Masterpiece of indian cinema,Was never a fan of rap or ranveer singh but this film has totally floored me. On the surface it seems like a rags to riches story but it's so much more. Truly poetry on celluloid. Ranveer does a Bhachan esk performance. It's all I'm his eyes. Just masterful acting cannot believe this is the same guy who played Khilji? ??,12/08/2019 09:40:21,46,17,1,2,3,4,5
36,Slow and calm Masterpiece,"its the story about every struggling person who trapped under the bloody society.who want to fly,who want to go outside,who want do something",12/08/2019 09:40:22,50,17,11,Null,Null,Null,Null
37,Zoya akhtar best movie till date,"This is a perfect collage of stories told in the best possible way by zoya akhtar, it is also ranveer singh best acting ever. every frame is a treat.",12/08/2019 09:40:23,34,17,Null,Null,Null,Null,Null
38,The perfect underdog story,A story which justifies the hype it created before even releasing. There's alot to the other than just big names. The contribution of Zoya Akhtar's whole team is brilliant and is visible throughout. The film has a gripping narrative.,12/08/2019 09:40:24,12,17,3,Null,4,14,24
39,One of the best movie,"Must watch direction, screenplay ,acting everything is good in this movie",12/08/2019 09:40:25,35,12,26,35,41,40,Null
40,Made me want to study the Real Apollo 13 Astronauts,"This was a very well-done true story of a space mission that came extremely close to being a disaster, but the astronauts miraculously made it home safely. Except for some language problems, it's good storytelling and so interesting that it made me want to study the real Apollo 13 astronauts.",12/08/2019 09:40:26,1,12,Null,Null,Null,Null,Null
41,Great film,"I honestly will recommend anyone to check this film out, it is long but of course you can't rush such an event, make sure you have a good free afternoon or weekend, get some popcorn and enjoy. On technically side this film has aged well, doesn't feel dated .",12/08/2019 09:40:27,5,12,Null,Null,Null,Null,Null
42,Great inspiring film,"Astronauts Lovell, Haise and Swigert are on Apollo 13. People aren't worried about this expedition because the people already made it to the moon safely and had came back alive. That's not the point when things go very wrong and the hopes of coming back alive starts to fade.",12/08/2019 09:40:28,4,12,40,Null,5,22,Null
43,Top grade for the science . Failing grade for the forced and moronic drama,"I was really looking forward to this series. Like ""Red Planet"" and ""Mission To Mars"" but without the fictional hooey. Like ""The Martian"" but in grander scale, with many scientists doing their thing, not just one. Bah; I was quite wrong.",12/08/2019 09:40:29,2,11,43,Null,7,9,8
44,"Good idea, bad execution","At first the documentary-style segments give it an authentic feel. Yet after a while it really interferes with the pacing of the story. Whenever the situation gets dramatic, there is a cut to Elon Musk or Neil Degrasse Tyson blue-balling us with another scientific explanation. They should have stopped this after the first episode, as it really comes across as filler after that.",12/08/2019 09:40:30,5,11,22,43,41,Null,Null
45,I wanted to like it,"OMG! I get it, Putin is literally Hitler and everything bad in this world is his fault. American corporations are also evil but that's Putin's fault. Global warming? Putin's fault too. Trump is also literally Putin... Can't I just watch some sci-fi?",12/08/2019 09:40:31,6,11,Null,Null,Null,Null,Null
46,stop politicizing science,"The show started out as a forward looking, science based exploration of human potential. Turned into anti-progress, environmentalist, left wing nonsense.",12/08/2019 09:40:32,9,11,Null,Null,Null,Null,Null
47,Turned into propaganda,"I enjoyed the first season, but the second has turned into a commercial for the science denying man made global warming religion.",12/08/2019 09:40:33,10,11,Null,Null,Null,Null,Null
48,Pure drama,Seems that the series is fastly becoming a soap opera. Pure earthly drama 150 mm out of here.,12/08/2019 09:40:34,20,11,30,33,32,45,31
49,Life on mars,"I found BBC America by mistake, while browsing the channels. I'm glad I did! This show is outstanding! Detective (DCI) Sam Tyler is put into a coma by a hit & run driver, and then wakes up 33 years earlier, as a Detective in 1973. ",12/08/2019 09:40:35,30,10,20,22,21,Null,Null
50,"slick, smart, believable","The premise of this show might stretch the limits of credulity - a cop who wakes up in the 1970s after being hit by a car - but within a few moments the viewer is drawn in, suspending disbelief because of the fantastic performances by the actors. John Simm's gives a strong and subtle performance, his ability to convey his emotions in subtle facial expressions keeps the audience connected to ongoing challenges of his character",12/08/2019 09:40:36,40,10,Null,Null,Null,Null,Null
51,"Sci-fi comedy, time travel back to 1973",A first class 8 part series . Anyone who lived through the 1970s in the UK will find the whole series very gripping and will fetch back a flood of memory's it's been a long time since since any drama has grabbed me like Life on Mars. I was 4 in 1973. I found the acting and the story line very strong and enjoying the way Sam's slowly beginning to adapt to life in 1973,12/08/2019 09:40:37,50,10,Null,Null,Null,Null,Null
52,one of the best show i have ever seen,"Love this show! I love the characters, the time it is set in and the music! Some excellent choices on the soundtrack, that IF i was born in the time period when it was set (1973) then it would have brought back memories i'm sure! All of my family and friends love this show! Gene Hunt is a fantastic character! I thinks he knows everything about policing but sadly he is generally wrong most of the time, and if he is right he gloats!",12/08/2019 09:40:38,11,10,Null,Null,Null,Null,Null
53,Unfairly bashed,"I have seen many reviews bashing Mission to Mars. I see why they've attacked the film but I think they missed that the excitement, action and deep humanity of this film far outweigh the forced quality of a few scenes.",12/08/2019 09:40:39,21,10,51,42,33,6,9
54,"Not without its flaws, but still a wonderful experience","Before watching this film for the first time the other night, I knew this film got middling reviews and after watching it, I can't see why. Just like 2001: A Space Odyssey, Mission to Mars gives us a sense of wonder, of hope, and even of awe",12/08/2019 09:40:40,31,10,15,14,13,Null,Null
55,A difficult derivative sci-fi film,"After a second viewing, I can say that I am still not sure what to make of this film. Many will see this as something of a remake of 2001. And yes, the film is visually almost plagiaristic of the Kubrick masterpiece.",12/08/2019 09:40:41,41,10,Null,Null,Null,Null,Null
56,Hits home as a solidly great sci-fi movie,"In this day and age of computer generated eye candy, it is very common to see movies that are based solely on special effects and nothing else. Movies like Wing Commander have great graphics, but the story line and acting leave you back at the ticket booth.",12/08/2019 09:40:42,12,10,Null,Null,Null,Null,Null
57,Just what can u expect,"Last night I took my sons to a preview screening of Hobbs&Shaw, and it is exactly what you would expect. A lot of action, fights, chases and an overload of testosteron. And there's nothing wrong with that. Sure, if you start nitpicking, there are some flaws in continuity and all, but this is not the kind of movie that needs to be nitpicked.",12/08/2019 09:40:43,22,9,Null,Null,Null,Null,Null
58,Amazing fast and furious ,"Rating 10/10 Amazing Fast & Furious movie I have ever seen. Excellent acting performance by Jason Statham a.k.a Shaw. He did a great job in this movie. Great CGI effects, great new action choreography of characters & good storytelling. Thank you! Fast & Furious franchise making a great movie on this year. I really need my Shaw back!!",12/08/2019 09:40:44,32,9,Null,Null,Null,Null,Null
59,A self aware of fast and furious,I got to see an early preview on Tuesday night which was cool. I have seen all the fast and furious movies and although I understand the appeal and like the characters I felt like the movies became increasingly ridiculous with the writing as time progressed.,12/08/2019 09:40:45,42,9,Null,Null,Null,Null,Null
60,Non stop action,Loved the humor and action. Chemistry between the actors is fantastic. I'd see it again tomorrow. I haven't enjoyed a movie this much in a long time. I'll definitely buy it when it comes out.,12/08/2019 09:40:46,13,9,1,Null,2,Null,Null
61,Loved the action loved the hummor,I get so tired of reading reviews that try to go so deep into a movie like this. This is an action movie not some deep feeling heart felt tear jerker. Bottom line is WAS THE MOVIE ENTERTAINING???? HELL YEAH!!!! Loved it and will watch it again when it comes out on blue ray.,12/08/2019 09:40:47,23,9,6,7,8,Null,Null
62,Journey of life,"two guys,one a thief and the other filthy rich, meet each other in a journey started by the later in search of his love. On the way they find their destinies of their lives. Beautiful movie which gives a different view of life.the movie starts with an accident done by the rich guy. the characterisation of the female lead is really superb.You will definitely feel like changing some of your thoughts after watching this movie. It touches lives of different sections of people in our society like rich,poor,thieves,hijras,village guys,naxalites etc. the guy who played the thief is amazingly entertaining. two songs are outstanding with outstanding lyrics. Must watch for all.",12/08/2019 09:40:48,33,8,Null,Null,Null,Null,Null
63,Simply beautiful,"Such a gem. I loved watching this movie and it was different from other Telugu movies that were out at the time. It was funny, emotional and the friendship between the two male characters was beautiful to watch. I have to give a huge applause to Allari Naresh. He did great justice to an free and flamboyant character like Galli Senu",12/08/2019 09:40:49,43,8,Null,Null,Null,Null,Null
64,Feel good refreshing and nice comedy,Feel good refreshing and nice comedy.... nice family entertainer.... I really enjoyed watching. Great songs and nice performance from Vijay.,12/08/2019 09:40:50,14,7,Null,Null,Null,Null,Null
65,Awesome,"Yet another blockbuster from Vijay devarakonda Awesome movie , everyone must watch this movie",12/08/2019 09:40:51,24,7,Null,Null,Null,Null,Null
66,Geetha govindam love,Everything in Movie is awesome.You will enjoy every bit of it.Worth watching Geeta Govindam.,12/08/2019 09:40:52,34,7,Null,Null,Null,Null,Null
67,Super love story and entertainment film,Vijay Devarkonda acting is very nice.Heroine smile is very beautiful. Especially inkem inkem song is super. The love theme music is super. Overall the movie is hit,12/08/2019 09:40:53,44,7,Null,Null,Null,Null,Null
68,Best movie i hav ever seen in my life,"This movie was the best written, acted, visual effected, etc. movie. This movie was the best movie I have ever seen. I am a huge Christopher Nolan fan and this movie was his finest. Matthew McConaughey turned in his best performance of his lifetime. Anne Hathaway was an amazing supporting actress and compared to her performance in Les Miserables, I have no idea how she didn't get an Oscar for this. ",23/08/2019609:40:54,15,6,Null,Null,Null,Null,Null
69,Excellent movie,"I judge a movie by how long it takes me to realize I need the bathroom, how long the movie can hold my interest and how convincing the events unfolding are. Well, I watched this movie all the way through with no bathroom breaks. My interest was grabbed from the start and held all the way through. ",12/08/2019 09:40:55,25,6,Null,Null,Null,Null,Null
70,"Nolan’s masterpiece, one of the best sci-fi movie","I have been a cinema lover for years, read a lot of reviews on IMDb and everywhere, and never found the right movie to write my first review. I always thought I would wait for THE movie.",10/11/2016 12:40:56,35,6,Null,Null,Null,Null,Null
71,Interstellar,"'Interstellar' was incredible. The visuals, the score, the acting, were all amazing. The plot is definitely one of the most original I've seen in a while. Most of the critic reviews have said that some bits are a little too unbelievable, but I have to disagree. Yes, there were some parts that were definitely in the ""fi"" part of sci-fi. ",28/11/2016 09:40:57,45,6,Null,Null,Null,Null,Null
72,Best film i hav ever seen,All is amazing. I can't describe anything. It's a film that leads you to think about yourself and your plans in your life. I am a real series/movies' lover and... This was awesome.,12/08/2017 09:40:58,16,6,Null,Null,Null,Null,Null
73,A  love story against the backdrop of a grand interstellar travel,"New creation of Christopher Nolan's genius, whose name is now known to everyone. His films are waiting with a special look, because it offers something that every day, unfortunately, less and less can be found in the world of mass cinema - an interesting spectacle, filled with meaning, ideas and emotions",1/06/2018 01:40:59,26,6,Null,Null,Null,Null,Null
74,Going brilliantly into the dark,Wowser! This Christopher Nolan film was presaged with such marketing hype that I went in with pretty low and cynical expectations. But I was frankly blown away with it.,20/02/2019 10:30:00,36,6,Null,Null,Null,Null,Null
75,The genius shocks the world ny another unique innovation,"It's almost impossible to put in words, but we have to try and give everyone what he truly deserve.",14/04/2017 09:40:62,4,3,Null,Null,Null,Null,Null
76,Very intense thought provoking thriller,"I saw this movie at Sundance, and it kept me interested the whole time. The story is very complex, and the movie was very well done. I recommend this movie if you like intensity.",12/02/2019 10:30:00,12,3,33,34,35,Null,4
77,Better than these ratings,"The cast did an amazing job. Was a really good concept. Not completely original, but had original components. Could've been a 10 had the story been developed a bit more and the score not have been so sleepy.",13/04/2019 04:40:21,34,3,11,12,22,21,23
78,Amazing,"All i have to say it is a must see if you want plot twist action,at the edge of your seat movie",03/09/2019 08:20:02,45,3,14,15,16,17,18
79,Great movie,"Not sure why there are some negative reviews but the movie is really good. Great action sequence and VFX. Good story. Would not say its a masterpiece, but worth watching",08/07/2019 08:20:03,51,4,26,22,21,20,19
80,Good action thriller,Good movie with action scenes but songs placement is irrelevant,30/08/2019 08:20:04,48,4,10,11,12,25,26
81,Only for fans....Boring movie,"What's Better In the Movie. 1. Production Values 2. Background Music 3. Cinematography, Main Drawbacks? 1. Screenplay 2. Story 3. Direction 4. Run Time 5. No Emotional Connect ",31/08/2019 11:30:05,52,4,60,59,58,57,Null
82,Only fights nothng else,Complete waste of money movie. Only fights are there and nothing else.,30/08/2019 09:20:06,35,4,Null,4,8,Null,Null
83,Super action scenes,Acting of prabhas is peaks Action scenes mind-blowing Bgm is flowless,08/06/2019 11:20:07,56,4,Null,3,Null,Null,Null
84,Actually not bad at all,"BEFORE YOU KNOW IT is not the sort of film that's for everyone. And that's actually sort of what made it stand out to me. While I liked it, I know that for most it will be more of a ""love it or hate it"" type of thing.It's a unique story, wonderfully acted and powerfully directed. The cinematography is great. There are a few moments that I didn't particularly care for, but overall I enjoyed it. Recommend. ",04/05/2019 07:30:08,58,5,43,44,42,41,Null
85,Family from the inside,"Greetings again from the darkness. The world of cinema has been slow to evolve, but these days we are getting more projects with women telling stories about women ... and this one from director Hannah Pearl Utt, who co-wrote the script with Jen Tullock does it pretty well. Both also star in the film, and casting themselves proves very effective at delivering the message",01/09/2019 13:20:09,59,5,51,54,56,57,58
86,Amazing movie,"Awesome movie, Acting of prabhas is peaks",10/02/2018 11:34:10,2,16,2,Null,4,Null,Null
87,Best film ,"Very nice movie, best work by rajamouli",23/12/2018 06:45:11,6,16,Null,60,9,Null,7
